id,host_neighbourhood,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type
15883,Donaustadt,6,Donaustadt,,48.24262,16.42767,Room in bed and breakfast,Hotel room
38768,Leopoldstadt,1,Leopoldstadt,,48.21924,16.37831,Entire rental unit,Entire home/apt
40625,Rudolfsheim-F«¨nfhaus,16,Rudolfsheim-F∂?nfhaus,,48.18434,16.32701,Entire rental unit,Entire home/apt
51287,Leopoldstadt,1,Leopoldstadt,,48.21778,16.37847,Entire rental unit,Entire home/apt
70637,Leopoldstadt,3,Leopoldstadt,,48.2176,16.38018,Private room in rental unit,Private room
75471,Ottakring,1,Ottakring,,48.22207,16.31594,Entire rental unit,Entire home/apt
75500,,1,Brigittenau,,48.23493,16.36752,Entire rental unit,Entire home/apt
90247,Neubau,2,Neubau,,48.20599,16.3489,Entire rental unit,Entire home/apt
109679,Rudolfsheim-F«¨nfhaus,16,Rudolfsheim-F∂?nfhaus,,48.18467,16.32795,Entire rental unit,Entire home/apt
111059,Hernals,3,Hernals,,48.22042,16.33377,Entire rental unit,Entire home/apt
114505,Rudolfsheim-F«¨nfhaus,16,Rudolfsheim-F∂?nfhaus,,48.18445,16.32722,Entire rental unit,Entire home/apt
114953,Floridsdorf,1,Floridsdorf,,48.26211,16.39924,Entire rental unit,Entire home/apt
119627,Leopoldstadt,3,Leopoldstadt,,48.22068,16.40645,Entire rental unit,Entire home/apt
121026,Leopoldstadt,4,Leopoldstadt,,48.2158,16.39034,Entire rental unit,Entire home/apt
125683,Leopoldstadt,2,Leopoldstadt,,48.21914,16.40276,Entire rental unit,Entire home/apt
131628,Ottakring,2,Ottakring,,48.21543,16.30939,Entire rental unit,Entire home/apt
138264,Hernals,15,Hernals,,48.22353,16.31773,Entire condominium (condo),Entire home/apt
149759,Leopoldstadt,2,Leopoldstadt,,48.21272,16.3806,Entire rental unit,Entire home/apt
153988,Alsergrund,1,Alsergrund,,48.21606,16.34875,Entire condominium (condo),Entire home/apt
155762,Leopoldstadt,2,Leopoldstadt,,48.22113,16.36907,Entire rental unit,Entire home/apt
163792,Simmering,1,Simmering,,48.18022,16.41955,Entire rental unit,Entire home/apt
169672,Wieden,1,Wieden,,48.19527,16.36374,Private room in rental unit,Private room
169752,Margareten,10,Margareten,,48.19469,16.35963,Entire rental unit,Entire home/apt
169852,Margareten,10,Margareten,,48.19469,16.35963,Entire rental unit,Entire home/apt
197787,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197796,Hernals,15,Hernals,,48.22353,16.31773,Entire condominium (condo),Entire home/apt
197809,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197822,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197827,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197831,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197842,Hernals,15,Hernals,,48.22356,16.31781,Entire condominium (condo),Entire home/apt
197852,Hernals,15,Hernals,,48.22509,16.31632,Entire condominium (condo),Entire home/apt
197857,Hernals,15,Hernals,,48.22501,16.31557,Entire condominium (condo),Entire home/apt
197859,Hernals,15,Hernals,,48.22501,16.31557,Entire condominium (condo),Entire home/apt
197865,Hernals,15,Hernals,,48.22365,16.31742,Entire condominium (condo),Entire home/apt
197870,Hernals,15,Hernals,,48.22365,16.31742,Entire serviced apartment,Entire home/apt
197968,Alsergrund,2,Alsergrund,,48.21919,16.35505,Entire rental unit,Entire home/apt
208734,Mariahilf,1,Mariahilf,,48.19341,16.35082,Entire rental unit,Entire home/apt
210780,Rudolfsheim-F«¨nfhaus,16,Rudolfsheim-F∂?nfhaus,,48.18444,16.32715,Entire rental unit,Entire home/apt
212649,Leopoldstadt,3,Leopoldstadt,,48.21971,16.37903,Private room in rental unit,Private room
214707,Leopoldstadt,51,Leopoldstadt,,48.21296,16.37858,Entire rental unit,Entire home/apt
221345,Mariahilf,1,Mariahilf,,48.19612,16.34943,Entire rental unit,Entire home/apt
222614,Mariahilf,3,Mariahilf,,48.20016,16.36049,Entire rental unit,Entire home/apt
222776,Josefstadt,3,Josefstadt,,48.20972,16.35418,Entire rental unit,Entire home/apt
224453,Josefstadt,3,Margareten,,48.18413,16.3593,Entire rental unit,Entire home/apt
229535,Leopoldstadt,51,Leopoldstadt,,48.21419,16.37646,Entire rental unit,Entire home/apt
230772,Josefstadt,3,Josefstadt,,48.21159,16.35467,Entire rental unit,Entire home/apt
234613,Leopoldstadt,51,Leopoldstadt,,48.21269,16.37841,Entire rental unit,Entire home/apt
235772,Landstra«?e,10,Landstra∂ıe,,48.20947,16.38992,Entire rental unit,Entire home/apt
235787,Landstra«?e,10,Landstra∂ıe,,48.1995,16.40202,Entire rental unit,Entire home/apt
235803,Landstra«?e,10,Favoriten,,48.17219,16.36803,Entire rental unit,Entire home/apt
235805,Innere Stadt,1,Innere Stadt,,48.20541,16.36867,Entire rental unit,Entire home/apt
242141,,1,Wieden,,48.18746,16.37478,Entire condominium (condo),Entire home/apt
